Sentence,Tense,Verb
yes that's water,1,s
those are rocks,1,are
there may be fish in the water,1,may
yes there may be some fish in the water,1,may
that's no tape recorder,1,s
those are records in a box,1,are
put it where it belongs,1,put
we'll take his coat and hang it up alright,3,ll
how do you spell your name Adam,1,do
why don't you sit beside Mr Cromer ,1,don't
and write what he writes,1,write
what he writes,1,writes
what does the label on Mr Cromer's suitcase say,1,does
that's no horse,1,s
what about Cromer's suitcase,0,None
Adam break suitcase Cromer,1,break
no Adam shouldn't break Cromer's suitcase,1,shouldn't
he'd do without a suitcase,1,d
do with a suitcase,1,do
he'd hafta do without a suitcase,1,d
because he wouldn't have one,1,wouldn't
oh no he wouldn't have one,1,wouldn't
Catherine take the suitcase,1,take
no nobody will break the suitcase,3,will
raining outside,0,go
you go look out the window,1,go
tell me,1,tell
if it's raining,1,s
is it raining,1,is
oh no it's not raining,1,s
well is the sun shining,1,is
the sun's not shining,1,s
is it cloudy,1,is
what kind of day is it,1,is
sun a week,0,None
Adam's pieces,0,None
take a piece of candy,1,take
what kind of candy is that,1,is
write with pencil,1,write
put the radio in,1,put
who is that,1,is
you know Humpty_Dumpty,1,know
what's that little boy's name,1,s
goose,0,None
do you think that radio will go in that box,1,do
that radio will go in that box,3,will
it's a windmill,1,s
whose bike,0,None
you're going to put all of your toys away,1,re going to
did you ask Ursula if you could have that box,2,did
if you could have that box,2,could
yes it does sound like sand but it doesn't have any sand in it,1,does
but it doesn't have any sand in it,1,doesn't
you going to put your toys in there,0,None
play toy,0,None
what about your play toy,0,None
play toy,0,None
put finger in,1,put
what happened to the play toy,2,happened
you dropped the play toy,2,dropped
how many play toys do you have,1,do
Adam fell down,2,fell
what are you crawling on,1,are
oh you're crawling on the radio,1,re
but I thought you were crawling,2,thought
you were crawling,2,were
on your knees,0,None
put shoe on,1,put
where did your foot go,2,did
is it in the shoe,1,is
foot,0,None
kitchen play toy,0,None
do you have play toys in the kitchen,1,do
what toy do you kick,1,do
kick your shoe,1,kick
you fell down,2,fell
what happened,2,happened
doggie and the car,0,None
where did you go yesterday,2,did
you saw some pretty flowers,2,saw
what kind of play toy are you,1,are
are you a boat or an airplane,1,are
are you a Texaco star,1,are
oh you're a man with a Texaco star,1,re
don't put your mouth on the paper,1,don't
what did you do to the paper,2,did
game Adam,0,None
play tail,1,play
what,0,None
can you tell Mr Cromer,1,can
that you have some gloves too,1,have
when you open the door and go outside,1,open
and go outside,1,go
what do you put on,1,put
you put your gloves on,1,put
what else,0,None
what about the book and the door,0,None
why are you going to put the book outside,3,are you going to
another book yes,0,None
whose book is that,1,is
whose book is that,1,is
what are you doing,1,are
a book isn't a ball,1,isn't
don't throw the book,1,don't
you ask somebody to play with you,1,ask
Chatter what's the matter with you,1,s
is that the way Chatter walks,1,is
can't you think of another game,1,can't
what are you doing with that chair,1,are
oh Adam sit in the chair,1,sit
is that the way it goes,1,is
the way it goes,1,goes
oh Adam sit in the chair ,1,sit
and watch the game,1,watch
what kind of game are you going to watch,1,are you going to
watch the game,1,watch
I don't think there are any games on today,1,don't
they usually come on the weekend,1,come
come at the end of the week,1,come
Sunday yes is at the end of the week,1,is
the power shovel pick the dirt up,1,pick
did you see a power shovel yesterday,2,did
that's right,1,s
you say a busy bulldozer yesterday,1,say
what was the busy bulldozer doing,2,was
was it pushing the dirt around too,2,was
oh no picking the dirt up,0,None
moon picks the dirt up,1,picks
when do you see the moon,1,do
up in the sky,0,None
Adam's pencil,0,None
where are you going,1,are
what are you going to say to the busy bulldozer,1,are
you're a little rascal,1,re
yes you are,1,are
just checking,0,None
no you don't need your temperature taken,1,don't
you're well,1,re
Mommy just takes your temperature when you are sick,1,takes
when you are sick,1,are
what's that,1,s
Adam's shirt,0,None
don't wear a shirt Mommy,1,don't
Mommy doesn't wear a shirt,1,doesn't
yes Adam does wear shoes,1,doesn't
shoes help keep your feet warm,1,help
what do you wear over your shoes,1,do
when it's raining,1,s
that's right ,1,s
don't bite,1,don't
don't ride on the briefcase,1,don't
that's right you sit in a chair,1,s
that's Ursula's,1,s
that's Ursula's pocket book,1,s
is it heavy,1,is
are you playing football,1,are
isn't that a pretty box Adam,1,isn't
you ask Ursula ,1,ask
if it's alright to put this in the briefcase,1,s
can you bring me my pocket book,1,can
what is that,1,is
no it's not all finished,1,s
won't you please go over and take Ursula's pocketbook to her,3,won't
where did the ball go,2,did
hit head trash,2,hit
no you hit your head here on the bench,2,hit
Adam what are you doing back there,1,are
looking at the water,0,None
no there isn't any water in there,1,isn't
that wasn't a drum,2,wasn't
picking tomatoes up,0,None
why would you pick a tomato up like that,1,would
oh in salad,0,None
what's on your tongue,1,s
you've got a string of Mommy's hair in your mouth,1,ve
no you don't have any,1,don't
use the eraser and then the writing is all_gone,1,use
and then the writing is all_gone,1,is
no you don't write on buttons,1,don't
tomato soup,0,None
where,0,None
how can I drink so much coffee,1,can
oh Adam will drink some coffee too,3,will
why don't you show Ursula your pumpkin candle,1,don't
did you have a pumpkin at Halloween,2,did
that's three,1,s
get your ball,1,get
is that a ball now,1,is
oh that's a ball right there,1,s
I don't know,1,don't
do you like grapefruit,1,don't
if you break it then you won't have a pumpkin,1,break
then you won't have a pumpkin,3,won't
poor pumpkin,0,None
oh is that Pepper,1,is
he went out to the kitchen soon,2,went
you do it,1,do
don't touch,1,don't
what is that,1,is
my that would be a big hat,1,would
where would you wear a hat like that,1,would
you put the pencil in your mouth,2,put
that's not Daddy's suitcase,1,s
you knocked it over,2,knocked
buy milk,1,buy
is milk on there,1,is
bread in there,0,None
what kind of bread,0,None
milk,0,None
what else,0,None
beans,0,None
what else,0,None
salad,0,None
what else,0,None
yes what else,0,None
milk,0,None
fresh milk,0,None
more candy,0,None
is that Adam,1,is
it's not candy,1,s
what is that,1,is
Adam's suitcase,0,None
where are you going,1,are
what will happen if you drop it,3,will
where do you go with one boot that size,1,do
is that a letter for somebody,1,is
whose letter is it,1,is
Adam's letter,0,None
the paint came off in your mouth,2,came
what are you doing Adam,1,are
oh ice,0,None
put it in your mouth,1,put
where are you going now,1,are
did you take the suitcase out,2,did
where're you going,1,re
what do you use that for,1,do
Adam what are you looking for,1,are
scissors,0,None
they'll cut you and hurt,3,ll
cut finger nails,1,cut
they're too large,1,re
where,0,None
no it's not broken,1,s
no that side isn't broken,1,isn't
do you have a whistle over there,1,do
the microphone,0,None
careful,0,None
no,0,None
careful Adam,0,None
big boys don't bother things like that,1,don't
the record's in the folder,1,s
the record is in the folder,1,is
is that yours,1,is
whose is that,1,is
Adam's,0,None
is that yours,1,is
yours,0,None
what's the name of that song,1,s
don't scratch the record,1,don't
put the toys in the basket,1,put
where is the record,1,is
in your hand,0,None
see the record falling out_of the folder,1,see
no that's not the top to that,1,s
toys are in there,1,are
what toys are in there,1,are
what,0,None
fish,0,None
what kind of fish,0,None
that's not a bus,1,s
that's part of a train,1,s
I still don't know what fish is in there,1,don't
I'll put it in the drawer,3,ll
careful with the record,0,None
what is he doing,1,is
did Adam do that,2,did
the man did that,2,did
Adam did that,2,did
why did Adam do that,2,did
Adam take it off,1,take
what did you say it was the other day,2,did
it was the other day,2,was
nothing,0,None
oh it's an airplane now,1,s
windmill,0,None
what makes the windmill turn around,1,makes
what makes a real windmill turn around,1,makes
do you know,1,do
no you don't know,1,don't
I don't know,1,don't
where did you put it,2,did
I see it,1,see
I'm looking right at it,1,m
yes I'm looking,1,m
I'm not looking for anything,1,m
what are you doing now,1,are
oh you're looking at the windmill,1,re
you're turning it on,1,re
here comes an airplane,1,comes
what does an airplane say,1,does
do you want Mommy to take it and put it up,1,does
no,0,None
you play with it without hitting anybody,1,play
get it again,1,get
no,0,None
is that a flag,1,is
oh you're getting supper ready,1,re
what are we having,1,are
what else,0,None
do you like tomato soup,1,do
no you don't like tomato soup,1,don't
you're making two bowls of tomato soup,1,re
what are you doing now,1,are
oh,0,None
other side,0,None
well what are you cooking down there,1,are
cooking water,0,None
what are you going to use the water for,3,are you going to
oh,0,None
Adam swimming,0,None
do you want Mommy to take the whistle and put it up,1,do
it's here ,1,s
but not when you wanna throw it,1,wanna
when you throw it,1,throw
it hurts your head,1,hurts
don't throw it,1,don't
you'll hurt Mr Cromer's head,3,ll
you'll hurt Ursula too,3,ll
you'll hurt the suitcase too,3,ll
what did you hit that time,2,did
you hit the floor,2,hit
do you think ,1,do
you hurt the floor,1,hurt
hurt your knee,2,hurt
how did you hurt your knee,2,did
on the chair,0,None
how did you hurt your arm,2,d
you hurt your arm on the chair,2,hurt
pick the play toys up,1,pick
that's a good boy,1,s
is that yellow,1,is
no that's not yellow,1,s
one part is black ,1,is
and the other is silver,1,is
the papers are yellow,1,are
is that yours,1,is
who is Adam,1,is
thank you,1,thank
what are you checking,1,are
that's a radiator,1,s
there is another one in the kitchen,1,is
the other is hot,1,is
don't fall pencil,1,don't
I don't hurt myself ,1,don't
thank you,1,thank
time for bed,0,None
is it time for bed,1,is
for whom,0,None
for Mommy,0,None
it's not time for bed for Adam,1,s
are you saying Bambi,1,are
over there,0,None
oh you're going to show Ursula,3,re going to
Bambi,0,None
what happened to Bambi,2,happened
Adam you give Bambi a ride,1,give
on your foot,0,None
do you think ,1,think
he likes that,1,likes
alright you read book,1,read
ups_a_daisy you dropped your shoe,2,dropped
he ate his dinner on this table last night and he dropped some beans,2,ate
Papa bear,0,None
yes,0,None
did you see bunny,2,did
the deer looks like Bambi,1,looks
bunny running,0,None
Mr Bear picked up the nails and carried them back to the woods,2,picked
and carried them back to the woods,2,carried
if he's not careful ,1,s
yes they will stick him,3,will
Mr Bear is dancing,1,is
he's dancing,1,s
Mr Bear is dancing,1,is
I just read them,2,read
now you take them over to Ursula,1,take
they're Ursula's books,1,s
no I just read them,2,read
you dropped a book,2,dropped
why don't you pick the books up ,1,don't
and take them over to Ursula,1,take
poor Ursula,0,None
she needs her books,1,needs
poor Cromer,0,None
mine,0,None
what's yours,1,s
what's that,1,s
no that's a lion,1,s
hungry lion,0,None
that's from the,1,s
Saggy Baggy Elephant,0,None
hungry lion,0,None
jelly,0,None
oh thank you,1,thank
dear,0,None
doggie,0,None
lion,0,None
doggie,0,None
you tell me,1,tell
okay,0,None
you go tell Ursula then,1,go
I thought you were going to tell her,2,thought
you were going to tell her,2,were
you hafta take it over there,1,hafta
where she is,1,is
oh you're going walking,1,re
alright,0,None
did you step on the book,2,did
that's alright then ,1,s
if you didn't do it on purpose,2,didn't
